# title : Testvolume

-0.732051 -0.624808 -0.536229 -0.469694 -0.428286 -0.414214 -0.428286 -0.469694 -0.536229 -0.624808
-0.624808 -0.509967 -0.414214 -0.341641 -0.296148 -0.280625 -0.296148 -0.341641 -0.414214 -0.509967
-0.536229 -0.414214 -0.311488 -0.232883 -0.183216 -0.166190 -0.183216 -0.232883 -0.311488 -0.414214
-0.469694 -0.341641 -0.232883 -0.148913 -0.095445 -0.077033 -0.095445 -0.148913 -0.232883 -0.341641
-0.428286 -0.296148 -0.183216 -0.095445 -0.039230 -0.019804 -0.039230 -0.095445 -0.183216 -0.296148
-0.414214 -0.280625 -0.166190 -0.077033 -0.019804 0.000000 -0.019804 -0.077033 -0.166190 -0.280625
-0.428286 -0.296148 -0.183216 -0.095445 -0.039230 -0.019804 -0.039230 -0.095445 -0.183216 -0.296148
-0.469694 -0.341641 -0.232883 -0.148913 -0.095445 -0.077033 -0.095445 -0.148913 -0.232883 -0.341641
-0.536229 -0.414214 -0.311488 -0.232883 -0.183216 -0.166190 -0.183216 -0.232883 -0.311488 -0.414214
-0.624808 -0.509967 -0.414214 -0.341641 -0.296148 -0.280625 -0.296148 -0.341641 -0.414214 -0.509967

-0.624808 -0.509967 -0.414214 -0.341641 -0.296148 -0.280625 -0.296148 -0.341641 -0.414214 -0.509967
-0.509967 -0.385641 -0.280625 -0.200000 -0.148913 -0.131371 -0.148913 -0.200000 -0.280625 -0.385641
-0.414214 -0.280625 -0.166190 -0.077033 -0.019804 0.000000 -0.019804 -0.077033 -0.166190 -0.280625
-0.341641 -0.200000 -0.077033 0.020204 0.083485 0.105573 0.083485 0.020204 -0.077033 -0.200000
-0.296148 -0.148913 -0.019804 0.083485 0.151472 0.175379 0.151472 0.083485 -0.019804 -0.148913
-0.280625 -0.131371 0.000000 0.105573 0.175379 0.200000 0.175379 0.105573 0.000000 -0.131371
-0.296148 -0.148913 -0.019804 0.083485 0.151472 0.175379 0.151472 0.083485 -0.019804 -0.148913
-0.341641 -0.200000 -0.077033 0.020204 0.083485 0.105573 0.083485 0.020204 -0.077033 -0.200000
-0.414214 -0.280625 -0.166190 -0.077033 -0.019804 0.000000 -0.019804 -0.077033 -0.166190 -0.280625
-0.509967 -0.385641 -0.280625 -0.200000 -0.148913 -0.131371 -0.148913 -0.200000 -0.280625 -0.385641

-0.536229 -0.414214 -0.311488 -0.232883 -0.183216 -0.166190 -0.183216 -0.232883 -0.311488 -0.414214
-0.414214 -0.280625 -0.166190 -0.077033 -0.019804 0.000000 -0.019804 -0.077033 -0.166190 -0.280625
-0.311488 -0.166190 -0.039230 0.061917 0.128220 0.151472 0.128220 0.061917 -0.039230 -0.166190
-0.232883 -0.077033 0.061917 0.175379 0.251669 0.278890 0.251669 0.175379 0.061917 -0.077033
-0.183216 -0.019804 0.128220 0.251669 0.336675 0.367544 0.336675 0.251669 0.128220 -0.019804
-0.166190 0.000000 0.151472 0.278890 0.367544 0.400000 0.367544 0.278890 0.151472 0.000000
-0.183216 -0.019804 0.128220 0.251669 0.336675 0.367544 0.336675 0.251669 0.128220 -0.019804
-0.232883 -0.077033 0.061917 0.175379 0.251669 0.278890 0.251669 0.175379 0.061917 -0.077033
-0.311488 -0.166190 -0.039230 0.061917 0.128220 0.151472 0.128220 0.061917 -0.039230 -0.166190
-0.414214 -0.280625 -0.166190 -0.077033 -0.019804 0.000000 -0.019804 -0.077033 -0.166190 -0.280625

-0.469694 -0.341641 -0.232883 -0.148913 -0.095445 -0.077033 -0.095445 -0.148913 -0.232883 -0.341641
-0.341641 -0.200000 -0.077033 0.020204 0.083485 0.105573 0.083485 0.020204 -0.077033 -0.200000
-0.232883 -0.077033 0.061917 0.175379 0.251669 0.278890 0.251669 0.175379 0.061917 -0.077033
-0.148913 0.020204 0.175379 0.307180 0.400000 0.434315 0.400000 0.307180 0.175379 0.020204
-0.095445 0.083485 0.251669 0.400000 0.510102 0.552786 0.510102 0.400000 0.251669 0.083485
-0.077033 0.105573 0.278890 0.434315 0.552786 0.600000 0.552786 0.434315 0.278890 0.105573
-0.095445 0.083485 0.251669 0.400000 0.510102 0.552786 0.510102 0.400000 0.251669 0.083485
-0.148913 0.020204 0.175379 0.307180 0.400000 0.434315 0.400000 0.307180 0.175379 0.020204
-0.232883 -0.077033 0.061917 0.175379 0.251669 0.278890 0.251669 0.175379 0.061917 -0.077033
