#title:Vectorfield

-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
-0.931034	-0.931034	-0.931034	-0.931034	-0.931034	-0.931034	-0.931034	-0.931034	-0.931034	-0.931034	-0.931034	-0.931034	-0.931034	-0.931034	-0.931034	-0.931034	-0.931034	-0.931034	-0.931034	-0.931034
-0.862069	-0.862069	-0.862069	-0.862069	-0.862069	-0.862069	-0.862069	-0.862069	-0.862069	-0.862069	-0.862069	-0.862069	-0.862069	-0.862069	-0.862069	-0.862069	-0.862069	-0.862069	-0.862069	-0.862069
-0.793103	-0.793103	-0.793103	-0.793103	-0.793103	-0.793103	-0.793103	-0.793103	-0.793103	-0.793103	-0.793103	-0.793103	-0.793103	-0.793103	-0.793103	-0.793103	-0.793103	-0.793103	-0.793103	-0.793103
-0.724138	-0.724138	-0.724138	-0.724138	-0.724138	-0.724138	-0.724138	-0.724138	-0.724138	-0.724138	-0.724138	-0.724138	-0.724138	-0.724138	-0.724138	-0.724138	-0.724138	-0.724138	-0.724138	-0.724138
-0.655172	-0.655172	-0.655172	-0.655172	-0.655172	-0.655172	-0.655172	-0.655172	-0.655172	-0.655172	-0.655172	-0.655172	-0.655172	-0.655172	-0.655172	-0.655172	-0.655172	-0.655172	-0.655172	-0.655172
-0.586207	-0.586207	-0.586207	-0.586207	-0.586207	-0.586207	-0.586207	-0.586207	-0.586207	-0.586207	-0.586207	-0.586207	-0.586207	-0.586207	-0.586207	-0.586207	-0.586207	-0.586207	-0.586207	-0.586207
-0.517241	-0.517241	-0.517241	-0.517241	-0.517241	-0.517241	-0.517241	-0.517241	-0.517241	-0.517241	-0.517241	-0.517241	-0.517241	-0.517241	-0.517241	-0.517241	-0.517241	-0.517241	-0.517241	-0.517241
-0.448276	-0.448276	-0.448276	-0.448276	-0.448276	-0.448276	-0.448276	-0.448276	-0.448276	-0.448276	-0.448276	-0.448276	-0.448276	-0.448276	-0.448276	-0.448276	-0.448276	-0.448276	-0.448276	-0.448276
-0.379310	-0.379310	-0.379310	-0.379310	-0.379310	-0.379310	-0.379310	-0.379310	-0.379310	-0.379310	-0.379310	-0.379310	-0.379310	-0.379310	-0.379310	-0.379310	-0.379310	-0.379310	-0.379310	-0.379310
-0.310345	-0.310345	-0.310345	-0.310345	-0.310345	-0.310345	-0.310345	-0.310345	-0.310345	-0.310345	-0.310345	-0.310345	-0.310345	-0.310345	-0.310345	-0.310345	-0.310345	-0.310345	-0.310345	-0.310345
-0.241379	-0.241379	-0.241379	-0.241379	-0.241379	-0.241379	-0.241379	-0.241379	-0.241379	-0.241379	-0.241379	-0.241379	-0.241379	-0.241379	-0.241379	-0.241379	-0.241379	-0.241379	-0.241379	-0.241379
-0.172414	-0.172414	-0.172414	-0.172414	-0.172414	-0.172414	-0.172414	-0.172414	-0.172414	-0.172414	-0.172414	-0.172414	-0.172414	-0.172414	-0.172414	-0.172414	-0.172414	-0.172414	-0.172414	-0.172414
-0.103448	-0.103448	-0.103448	-0.103448	-0.103448	-0.103448	-0.103448	-0.103448	-0.103448	-0.103448	-0.103448	-0.103448	-0.103448	-0.103448	-0.103448	-0.103448	-0.103448	-0.103448	-0.103448	-0.103448
-0.034483	-0.034483	-0.034483	-0.034483	-0.034483	-0.034483	-0.034483	-0.034483	-0.034483	-0.034483	-0.034483	-0.034483	-0.034483	-0.034483	-0.034483	-0.034483	-0.034483	-0.034483	-0.034483	-0.034483
0.034483	0.034483	0.034483	0.034483	0.034483	0.034483	0.034483	0.034483	0.034483	0.034483	0.034483	0.034483	0.034483	0.034483	0.034483	0.034483	0.034483	0.034483	0.034483	0.034483
